date,home_team,away_team,actual,predicted,correct,tier,consensus,h_prob,d_prob,a_prob,brier,elo_home,elo_away,elo_gap
2023-10-29,Leverkusen,Freiburg,home_win,home_win,True,HOLD,0,0.4397,0.2636,0.2967,0.4715,1620.0,1544.7,75.3
2023-11-03,Darmstadt,Bochum,away_win,home_win,False,HOLD,0,0.4213,0.2636,0.3151,0.7161,1458.4,1420.7,37.7
2023-11-04,FC Koln,Augsburg,draw,draw,True,SKIP,0,0.3436,0.359,0.2973,0.6173,1419.8,1433.0,-13.3
2023-11-04,Freiburg,M'gladbach,draw,home_win,False,HOLD,0,0.4406,0.2636,0.2958,0.8239,1534.2,1457.0,77.1
2023-11-04,Hoffenheim,Leverkusen,away_win,away_win,True,SKIP,0,0.3066,0.3336,0.3598,0.6151,1510.1,1630.5,-120.4
2023-11-04,Mainz,RB Leipzig,home_win,away_win,False,SKIP,0,0.2861,0.2636,0.4503,0.7819,1414.1,1649.6,-235.5
2023-11-04,Union Berlin,Ein Frankfurt,away_win,draw,False,SKIP,0,0.3156,0.3683,0.316,0.7031,1471.5,1537.9,-66.4
2023-11-04,Dortmund,Bayern Munich,away_win,draw,False,SKIP,0,0.3486,0.3543,0.2971,0.7411,1671.1,1679.0,-7.9
2023-11-05,Wolfsburg,Werder Bremen,draw,home_win,False,SNIPER,0,0.4477,0.2636,0.2887,0.8261,1493.5,1400.9,92.6
2023-11-05,Heidenheim,Stuttgart,home_win,draw,False,SKIP,0,0.315,0.3502,0.3347,0.7039,1442.5,1529.0,-86.5
2023-11-10,M'gladbach,Wolfsburg,home_win,draw,False,SKIP,0,0.3332,0.3692,0.2975,0.6694,1462.7,1487.2,-24.6
2023-11-11,Bayern Munich,Heidenheim,home_win,home_win,True,SNIPER,0,0.5019,0.2636,0.2345,0.3726,1696.9,1460.2,236.8
2023-11-11,Stuttgart,Dortmund,home_win,away_win,False,SKIP,0,0.2969,0.3336,0.3695,0.7422,1511.3,1653.1,-141.8
2023-11-11,Augsburg,Hoffenheim,draw,draw,True,SKIP,0,0.3156,0.3718,0.3126,0.592,1434.7,1497.3,-62.5
2023-11-11,Bochum,FC Koln,draw,home_win,False,HOLD,0,0.3744,0.3336,0.292,0.6695,1440.7,1418.1,22.6
2023-11-11,Darmstadt,Mainz,draw,home_win,False,HOLD,0,0.3567,0.3466,0.2967,0.6422,1438.5,1437.9,0.5
2023-11-12,Leverkusen,Union Berlin,home_win,home_win,True,SNIPER,0,0.4859,0.2636,0.2505,0.3965,1643.3,1456.2,187.0
2023-11-12,Werder Bremen,Ein Frankfurt,draw,away_win,False,SKIP,0,0.295,0.3336,0.3714,0.6691,1407.1,1553.1,-146.0
2023-11-12,RB Leipzig,Freiburg,home_win,home_win,True,SNIPER,0,0.4498,0.2636,0.2866,0.4543,1625.8,1528.6,97.2
2023-11-24,FC Koln,Bayern Munich,away_win,away_win,True,SKIP,0,0.2693,0.2636,0.4671,0.426,1421.4,1702.1,-280.7
2023-11-25,Union Berlin,Augsburg,draw,home_win,False,HOLD,0,0.3703,0.3341,0.2956,0.6679,1449.7,1435.3,14.4
2023-11-25,Werder Bremen,Leverkusen,away_win,away_win,True,SKIP,0,0.285,0.2636,0.4514,0.4517,1411.4,1649.8,-238.4
2023-11-25,Dortmund,M'gladbach,home_win,home_win,True,SNIPER,0,0.4743,0.2636,0.2621,0.4145,1633.0,1477.5,155.5
2023-11-25,Freiburg,Darmstadt,draw,home_win,False,SNIPER,0,0.4432,0.2636,0.2932,0.8247,1519.0,1436.1,82.8
2023-11-25,Wolfsburg,RB Leipzig,home_win,away_win,False,SKIP,0,0.3179,0.2636,0.4185,0.7099,1472.4,1635.4,-163.0
2023-11-25,Ein Frankfurt,Stuttgart,away_win,home_win,False,HOLD,0,0.3719,0.3336,0.2945,0.7473,1548.8,1531.5,17.4
2023-11-26,Heidenheim,Bochum,draw,home_win,False,HOLD,0,0.372,0.3336,0.2944,0.6691,1455.0,1437.4,17.6
2023-11-26,Hoffenheim,Mainz,draw,home_win,False,HOLD,0,0.4306,0.2636,0.3058,0.8212,1496.7,1440.2,56.5
2023-12-01,Darmstadt,FC Koln,away_win,home_win,False,HOLD,0,0.3765,0.3336,0.2899,0.7573,1442.0,1414.7,27.3
2023-12-02,Bochum,Wolfsburg,home_win,draw,False,SKIP,0,0.3155,0.3804,0.3041,0.7057,1440.5,1493.4,-53.0
2023-12-02,M'gladbach,Hoffenheim,home_win,draw,False,SKIP,0,0.3356,0.3669,0.2975,0.6645,1470.0,1491.9,-21.9
2023-12-02,RB Leipzig,Heidenheim,home_win,home_win,True,SNIPER,0,0.4769,0.2636,0.2595,0.4105,1614.4,1451.9,162.4
2023-12-02,Stuttgart,Werder Bremen,home_win,home_win,True,HOLD,0,0.471,0.2636,0.2654,0.4198,1550.5,1403.3,147.2
2023-12-03,Augsburg,Ein Frankfurt,home_win,draw,False,SKIP,0,0.3147,0.3457,0.3395,0.7044,1438.2,1529.8,-91.5
2023-12-03,Mainz,Freiburg,away_win,draw,False,SKIP,0,0.3156,0.3667,0.3177,0.6996,1445.0,1513.2,-68.2
2023-12-03,Leverkusen,Dortmund,draw,home_win,False,HOLD,0,0.3719,0.3336,0.2945,0.6691,1657.9,1640.5,17.3
2023-12-08,Hoffenheim,Bochum,home_win,home_win,True,HOLD,0,0.3734,0.3336,0.293,0.5898,1477.2,1456.6,20.6
